"Time","1 Month Rate"
"2012-04-19","0.33"
"2012-04-20","0.33"
"2012-04-23","0.33"
"2012-04-24","0.31"
"2012-04-25","0.31"
"2012-04-26","0.31"
"2012-04-27","0.31"
"2012-04-30","0.31"
"2012-05-01","0.31"
"2012-05-02","0.31"
"2012-05-03","0.31"
"2012-05-04","0.31"
"2012-05-07","0.30"
"2012-05-08","0.30"
"2012-05-09","0.30"
"2012-05-10","0.30"
"2012-05-11","0.30"
"2012-05-14","0.30"
"2012-05-15","0.30"
"2012-05-16","0.30"
"2012-05-17","0.30"
"2012-05-18","0.30"
"2012-05-21","0.30"
"2012-05-22","0.30"
"2012-05-23","0.30"
"2012-05-24","0.30"
"2012-05-25","0.30"
"2012-05-28","0.30"
"2012-05-29","0.30"
"2012-05-30","0.30"
"2012-05-31","0.30"
"2012-06-01","0.30"
"2012-06-04","0.30"
"2012-06-05","0.30"
"2012-06-06","0.30"
"2012-06-07","0.30"
"2012-06-08","0.30"
"2012-06-11","0.30"
"2012-06-12","0.30"
"2012-06-13","0.30"
